;id;name;price;descr_short;imagen;brand;features
0;lbt_1;Boon Oude Kriek 37,5cl;7.15;Lambic / Kriek;https://www.labirratorium.com/19351-large_default/boon-kriek-2013.jpg;Brouwerij F. Boon;{'Estilo': 'KRIEK', 'Origen': 'Bélgica', '% Alc.': '6.5\nALTO (6-9%)', 'Otros ingredientes': 'Cerezas Naturales', 'Volumen (cl)': '37.5 Cl', 'Tipo Fermentación': 'Lambic (Fermentación espontánea o salvaje)', 'Maltas': 'Cebada y Trigo', 'IBU': '0-25 Amargor bajo', 'Color': 'Rojiza', 'Envase': 'Botella'}
1;lbt_1;Störtebeker Schwarz-Bier;2.4;Cerveza negra de baja fermentación ;https://www.labirratorium.com/488-large_default/stortebeker-schwarz-bier.jpg;Störtebeker;{'Estilo': 'SCHWARZBIER', 'Origen': 'Alemania', '% Alc.': '5\nMEDIO (4-6%)', 'Volumen (cl)': '50 Cl', 'Tipo Fermentación': 'Lager (Baja Fermentación)', 'Maltas': 'Cebada', 'IBU': '0-25 Amargor bajo', 'Color': 'Negro', 'Envase': 'Botella'}
2;lbt_1;Orval;2.8;Belgian Pale Ale;https://www.labirratorium.com/385-large_default/orval.jpg;Orval;{'Estilo': 'BELGIAN PALE ALE', 'Origen': 'Bélgica', '% Alc.': '6.2\nALTO (6-9%)', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'IBU': '25-50 Amargor medio\n36', 'Color': 'Amarillo pálido', 'Envase': 'Botella'}
3;lbt_1;Augustiner Lagerbier Hell;2.5;Lager / Helles;https://www.labirratorium.com/367-large_default/augustiner-lagerbier-hell.jpg;Augustiner;{'Estilo': 'MUNICH HELLES', 'Origen': 'Alemania', '% Alc.': '5.2\nMEDIO (4-6%)', 'Volumen (cl)': '50 Cl', 'Tipo Fermentación': 'Lager (Baja Fermentación)', 'Maltas': 'Cebada', 'IBU': '0-25 Amargor bajo\n12', 'Color': 'Amarillo pálido', 'Envase': 'Botella'}
4;lbt_1;Schneider Aventinus Weizen-Eisbock;2.7;Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada. ;https://www.labirratorium.com/366-large_default/schneider-eisbock.jpg;Schneider;{'Origen': 'Alemania', '% Alc.': '12', 'Volumen (cl)': '33', 'Tipo Fermentación': 'Lager (Baja Fermentación)', 'IBU': '0-25 Amargor bajo'}
5;lbt_1;Aecht Schlenkerla Rauchbier Weizen;2.5;;https://www.labirratorium.com/364-large_default/schlenkerla-rauchbier-weizen.jpg;Brauerei Heller;{'Estilo': 'RAUCHBIER', 'Origen': 'Alemania', '% Alc.': '5.2\nMEDIO (4-6%)', 'Volumen (cl)': '50 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Trigo  y Cebada', 'IBU': '0-25 Amargor bajo\n20', 'Color': 'Marrón', 'Envase': 'Botella'}
6;lbt_1;Samuel Adams Boston Lager;2.4;Cerveza de baja fermentación (Lager) de color ambarino y suave.;https://www.labirratorium.com/343-large_default/samuel-adams-boston-lager.jpg;Samuel Adams;{'Estilo': 'AMERICAN LAGER', 'Origen': 'EEUU', '% Alc.': '4.8\nMEDIO (4-6%)', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Samuel Adams lager', 'Maltas': 'Samuel Adams two-row pale malt blend y Caramel 60', 'Lúpulos': 'Hallertau Mittelfrueh y Tettnang Tettnanger Noble hops', 'IBU': '25-50 Amargor medio\n30', 'Color': 'Ámbar', 'Envase': 'Botella'}
7;lbt_1;Laugar EPA! Euskadiko Pale Ale;2.65;American Pale Ale;https://www.labirratorium.com/11103-large_default/laugar-epa.jpg;Laugar;{'Estilo': 'APA (AMERICAN PALE ALE)', 'Origen': 'Bizkaia', '% Alc.': '5.4\nMEDIO (4-6%)', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Pils y caramunich II', 'Lúpulos': 'Cascade, Chinook y Columbus', 'IBU': '25-50 Amargor medio\n40', 'Color': 'Amarillo dorado', 'Envase': 'Botella'}
8;lbt_1;Westmalle Dubbel;2.3;Dubbel;https://www.labirratorium.com/102-large_default/westmalle-dubbel.jpg;Van Westmalle;{'Estilo': 'DUBBEL', 'Origen': 'Bélgica', '% Alc.': '7\nALTO (6-9%)', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada', 'IBU': '0-25 Amargor bajo\n24\n25-50 Amargor medio', 'Color': 'Marrón', 'Envase': 'Botella'}
9;lbt_1;Duchesse De Bourgogne;2.95;Oud Bruin/ Flanders Red Ale;https://www.labirratorium.com/12300-large_default/duchesse-de-bourgogne.jpg;Verhaeghe;{'Estilo': 'FLANDERS RED ALE\nOUD BRUIN\nOud Bruin / Franders Red Ale', 'Origen': 'Bélgica', '% Alc.': '6.2\nALTO (6-9%)', 'Volumen (cl)': '25 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada', 'IBU': '0-25 Amargor bajo', 'Color': 'Ámbar', 'Envase': 'Botella'}
10;lbt_1;Tripel Karmeliet 33 cl.;2.5;Tripel;https://www.labirratorium.com/81-large_default/tripel-karmeliet33.jpg;Brouwerij Bosteels (AB InBev);{'Origen': 'Bélgica', '% Alc.': '8.4\nALTO (6-9%)', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada, Avena y Trigo', 'IBU': '0-25 Amargor bajo\n16', 'Color': 'Amarillo pálido', 'Envase': 'Botella'}
11;lbt_1;Weihenstephaner Vitus;2.8;Weizenbock;https://www.labirratorium.com/43-large_default/weihenstephaner-vitus.jpg;Weihenstephan;{'Estilo': 'TRIGO ALEMÁN (WEIZENDOPPELBOCK)', 'Origen': 'Alemania', '% Alc.': '7,7\nALTO (6-9%)', 'Volumen (cl)': '50 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Trigo y Cebada', 'IBU': '0-25 Amargor bajo', 'Color': 'Amarillo dorado', 'Envase': 'Botella'}
12;lbt_1;Anchor Porter;2.95;Porter;https://www.labirratorium.com/41-large_default/anchor-porter.jpg;Anchor Brewing Company (Sapporo);{'Estilo': 'AMERICAN PORTER', 'Origen': 'Estados Unidos', '% Alc.': '5,6\nMEDIO (4-6%)', 'Volumen (cl)': '35.5 Cl', 'Tipo Fermentación': 'Ale', 'Maltas': '2-Row Pale. Caramelo, Chocolate, Black', 'Lúpulos': 'Northern Brewer', 'IBU': '0-25 Amargor bajo\n20', 'Color': 'Negro', 'Envase': 'Botella'}
13;lbt_1;Blaugies / Hill Farmstead La Vermontoise 37,5 cl.;6.6;Saison;https://www.labirratorium.com/21794-large_default/la-vermontoise-75cl-hill-farmsteadblaugies.jpg;Blaugies;{'Estilo': 'SAISON / FARMHOUSE ALE', 'Origen': 'Bélgica / EEUU', '% Alc.': '6\nMEDIO (4-6%)', 'Volumen (cl)': '37.5 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada y Trigo', 'Lúpulos': 'Amarillo', 'IBU': '25-50 Amargor medio', 'Color': 'Amarillo dorado', 'Envase': 'Botella'}
14;lbt_1;Oud Beersel Oude Kriek Vieille 75cl;14.95;Lambik / Kriek;https://www.labirratorium.com/620-large_default/oud-beersel-kriek75.jpg;Oud Beersel;{'Estilo': 'KRIEK', 'Origen': 'Belgica', '% Alc.': '6\nMEDIO (4-6%)', 'Otros ingredientes': 'Cerezas', 'Volumen (cl)': '75', 'Tipo Fermentación': 'Lambic (Fermentación espontánea o salvaje)', 'Maltas': 'Cebada y Trigo', 'IBU': '0-25 Amargor bajo', 'Color': 'Rojiza', 'Envase': 'Botella'}
15;lbt_1;Boon Oude Geuze Boon 37,5 cl.;5.15;Lambic / Gueuze;https://www.labirratorium.com/618-large_default/boon-oude-gueze-375.jpg;Brouwerij F. Boon;{'Estilo': 'GUEUZE', 'Origen': 'Bélgica', '% Alc.': '7\nALTO (6-9%)', 'Volumen (cl)': '37.5 Cl', 'Tipo Fermentación': 'Lambic (Fermentación espontánea o salvaje)', 'Maltas': 'Cebada y Trigo', 'IBU': '0-25 Amargor bajo', 'Color': 'Amarillo dorado', 'Envase': 'Botella'}
16;lbt_1;Weihenstephaner Korbinian;2.95;Doppelbock;https://www.labirratorium.com/365-large_default/weihenstephaner-korbinian.jpg;Weihenstephan;{'Estilo': 'DOPPELBOCK', 'Origen': 'Alemania', '% Alc.': '7.4\nALTO (6-9%)', 'Volumen (cl)': '50 Cl', 'Tipo Fermentación': 'Lager (Baja Fermentación)', 'Maltas': 'Cebada', 'IBU': '25-50 Amargor medio\n32', 'Color': 'Marrón', 'Envase': 'Botella'}
17;lbt_1;Aecht Schlenkerla Rauchbier Märzen;2.4;Rauchbier / Mazen;https://www.labirratorium.com/12653-large_default/schlenkerla-rauchbier-marzen.jpg;Brauerei Heller;{'Estilo': 'RAUCHBIER', 'Origen': 'Alemania', '% Alc.': '5.1\nMEDIO (4-6%)', 'Volumen (cl)': '50 Cl', 'Tipo Fermentación': 'Lager (Baja Fermentación)', 'IBU': '25-50 Amargor medio', 'Color': 'Marrón', 'Envase': 'Botella'}
18;lbt_1;Samuel Smith Imperial Stout;3.3;Imperial Stout;https://www.labirratorium.com/131-large_default/samuel-smiths-imperial-stout.jpg;Samuel Smith;{'Estilo': 'IMPERIAL STOUT', 'Origen': 'Inglaterra', '% Alc.': '7\nALTO (6-9%)', 'Volumen (cl)': '35.5 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'IBU': '0-25 Amargor bajo', 'Color': 'Negro', 'Envase': 'Botella'}
19;lbt_1;Westmalle Tripel;2.75;Tripel;https://www.labirratorium.com/103-large_default/westmalle-tripel.jpg;Van Westmalle;{'Estilo': 'TRIPEL', 'Origen': 'Bélgica', '% Alc.': '9\nALTO (6-9%)', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada', 'IBU': '0-25 Amargor bajo\n25-50 Amargor medio\n36', 'Color': 'Amarillo dorado', 'Envase': 'Botella'}
20;lbt_1;Chimay Azul Grande Réserve 75cl;7.55;Belgian Strong Ale;https://www.labirratorium.com/67-large_default/chimay-azul-grande-reserve.jpg;Chimay;{'Estilo': 'BELGIAN DARK STRONG ALE', 'Origen': 'Bélgica\nBélgica', '% Alc.': '9\nALTO (6-9%)', 'Volumen (cl)': '75 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada', 'IBU': '25-50 Amargor medio\n35', 'Color': 'Marrón', 'Envase': 'Botella'}
